time,open,high,low,close,EMA,EMA,EMA,EMA,MA,MA,MA,MA,Basis,Upper,Lower,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D,OnBalanceVolume,Accumulation/Distribution,DI+,DI-,ADX,Aroon Up,Aroon Down
1999-03-10,51.125,51.15625,50.28125,51.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5232202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4111015.8571428573,100,0,NaN,NaN,NaN
1999-03-11,51.4375,51.734375,50.3125,51.3125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9688602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9688602,8050337.54945055,98.27539009033671,0,NaN,NaN,NaN
1999-03-12,51.125,51.15625,49.65625,50.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8743602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,945000,4042853.29945055,94.81853705446936,1.3937329423476745,NaN,NaN,NaN
1999-03-15,50.4375,51.5625,49.90625,51.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6369000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7314000,9931174.054167531,92.25305913891872,1.3428639834483507,NaN,NaN,NaN
1999-03-16,51.71875,52.15625,51.15625,51.9375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4905800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12219800,12690686.554167531,91.49088883728645,1.311734072677419,NaN,NaN,NaN
1999-03-17,51.9375,52,51.40625,51.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3965000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8254800,10812528.65943069,90.15453418553707,1.2925743295362395,NaN,NaN,NaN
1999-03-18,51.5,52.59375,51.484375,52.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4848400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13103200,15387779.363656042,89.10860909116943,1.2556698747604667,NaN,NaN,NaN
1999-03-19,53.25,53.25,51.1875,51.21875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7160400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5942800,8444361.18183786,86.01073916505258,1.1877719356577254,NaN,NaN,NaN
1999-03-22,51.4375,51.5625,50.5,50.59375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5024800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,918000,4306290.593602566,83.50568665557716,3.037729318219147,NaN,NaN,NaN
1999-03-23,50.3125,50.5,48.71875,48.8125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10962398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10044398,-5502170.774818487,79.1260253974791,7.860916938637604,NaN,NaN,NaN
