time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume
1514894400,156.08,156.36,156.08,156.35,NaN,NaN,NaN,NaN,NaN,NaN,3900
1514898000,156.38,156.44,156.32,156.43,NaN,NaN,NaN,NaN,NaN,NaN,9000
1514901600,156.41,157.52,156.17,157.49,NaN,NaN,NaN,NaN,NaN,NaN,564693
1514905200,157.48,157.97,157.47,157.96,NaN,NaN,NaN,NaN,NaN,NaN,554058
1514908800,157.96,158.15,157.895,157.98,NaN,NaN,NaN,NaN,NaN,157.24200000000002,270979
1514912400,157.985,158.06,157.9,157.95,NaN,NaN,NaN,NaN,NaN,157.56199999999998,140092
1514916000,157.96,158.16,157.94,158.15,NaN,NaN,NaN,NaN,NaN,157.906,180797
1514919600,158.15,158.345,158.14,158.28,NaN,NaN,NaN,NaN,NaN,158.064,245040
1514923200,158.28,158.52,158.25,158.47,NaN,NaN,NaN,NaN,NaN,158.166,562572
1514926800,158.46,158.47,158.31,158.33,NaN,NaN,NaN,NaN,157.739,158.236,51794
1514980800,158.56,158.56,158.54,158.55,NaN,NaN,NaN,NaN,157.959,158.356,5500
1514984400,158.6,158.6,158.5,158.5,NaN,NaN,NaN,NaN,158.166,158.426,24535
1514988000,158.55,159.46,158.55,159.42,NaN,NaN,NaN,NaN,158.35899999999998,158.654,456979
1514991600,159.43,159.75,159.36,159.66,NaN,NaN,NaN,NaN,158.529,158.892,384892
1514995200,159.66,159.85,159.58,159.7,NaN,NaN,NaN,NaN,158.701,159.166,287344
1514998800,159.71,160.11,159.71,160.035,NaN,NaN,NaN,NaN,158.9095,159.463,187533
1515002400,160.06,160.07,159.72,159.725,NaN,NaN,NaN,NaN,159.06699999999998,159.708,142133
1515006000,159.72,160.02,159.68,159.93,NaN,NaN,NaN,NaN,159.232,159.81,258813
1515009600,159.93,160.17,159.84,160.02,NaN,NaN,NaN,NaN,159.387,159.882,515099
1515013200,160,160.11,159.91,159.96,NaN,NaN,NaN,158.6445,159.54999999999998,159.934,36252
1515067200,160.41,160.49,160.41,160.45,NaN,NaN,NaN,158.84949999999998,159.73999999999995,160.017,9550
1515070800,160.63,160.78,160.63,160.72,NaN,NaN,NaN,159.06400000000002,159.96199999999996,160.216,28439
1515074400,160.72,160.78,160.09,160.38,NaN,NaN,NaN,159.20850000000002,160.058,160.30599999999998,450899
1515078000,160.41,160.72,160.23,160.53,NaN,NaN,NaN,159.337,160.14499999999998,160.408,261406
1515081600,160.54,160.555,160.22,160.33,NaN,NaN,NaN,159.4545,160.20799999999997,160.48199999999997,235757
1515085200,160.33,160.55,160.26,160.3,NaN,NaN,NaN,159.572,160.23449999999997,160.45199999999997,202127
1515088800,160.29,160.36,160.13,160.3,NaN,NaN,NaN,159.67950000000002,160.29199999999997,160.368,144561
1515092400,160.32,160.45,160.21,160.37,NaN,NaN,NaN,159.784,160.33599999999996,160.36599999999999,244311
1515096000,160.37,160.48,160.25,160.295,NaN,NaN,NaN,159.87525,160.3635,160.319,288691
1515099600,160.31,160.6,160.28,160.6,NaN,NaN,NaN,159.98874999999998,160.42749999999998,160.373,32557
1515153600,161.07,161.11,161.07,161.11,NaN,NaN,NaN,160.11675,160.49349999999998,160.535,6000
1515157200,161.14,161.35,161.07,161.15,NaN,NaN,NaN,160.24925,160.5365,160.705,19026
1515160800,161.12,161.18,160.77,161.01,NaN,NaN,NaN,160.32874999999999,160.59949999999998,160.83300000000003,399007
1515164400,161,161.5,160.89,161.44,NaN,NaN,NaN,160.41775,160.6905,161.062,253268
1515168000,161.45,161.695,161.38,161.69,NaN,NaN,NaN,160.51725,160.82649999999998,161.28000000000003,368324
1515171600,161.69,161.73,161.57,161.64,NaN,NaN,NaN,160.5975,160.96049999999997,161.38600000000002,170489
1515175200,161.66,161.77,161.58,161.715,NaN,NaN,NaN,160.697,161.102,161.499,148128
1515178800,161.72,161.755,161.595,161.63,NaN,NaN,NaN,160.78199999999998,161.228,161.623,147555
1515182400,161.64,162.03,161.59,161.88,NaN,NaN,NaN,160.875,161.3865,161.711,469126
1515186000,161.89,162.15,161.85,162.02,NaN,NaN,NaN,160.97799999999998,161.5285,161.777,94721
1515412800,161.91,161.94,161.77,161.77,NaN,NaN,NaN,161.04399999999998,161.5945,161.80300000000003,23330
1515416400,161.87,161.87,161.75,161.83,NaN,NaN,NaN,161.09949999999998,161.6625,161.82600000000002,9291
1515420000,161.83,162.26,161.83,162.18,NaN,NaN,NaN,161.18949999999998,161.7795,161.936,244268
1515423600,162.17,162.425,161.88,162.35,NaN,NaN,NaN,161.2805,161.8705,162.03000000000003,368343
1515427200,162.34,162.62,162.29,162.445,NaN,NaN,NaN,161.38624999999996,161.946,162.115,322263
1515430800,162.45,162.5,162.35,162.41,NaN,NaN,NaN,161.49174999999997,162.023,162.243,172642
1515434400,162.44,162.545,162.38,162.54,NaN,NaN,NaN,161.60374999999996,162.10549999999998,162.385,253920
1515438000,162.54,162.61,162.33,162.42,NaN,NaN,NaN,161.70624999999995,162.18449999999999,162.433,233465
1515441600,162.43,162.63,162.375,162.51,NaN,NaN,NaN,161.81699999999998,162.24749999999997,162.46499999999997,337193
1515445200,162.52,162.59,162.5,162.57,NaN,NaN,160.3095,161.91549999999998,162.30249999999995,162.48999999999998,16351
1515499200,162.7,162.8,162.7,162.8,NaN,NaN,160.4385,161.99999999999997,162.4055,162.568,4300
1515502800,162.77,162.96,162.77,162.96,NaN,NaN,160.5691,162.0905,162.51849999999996,162.652,12200
1515506400,162.98,162.98,162.07,162.23,NaN,NaN,160.66389999999998,162.1515,162.52349999999996,162.61399999999998,1083120
1515510000,162.21,162.59,162.11,162.46,NaN,NaN,160.7539,162.2025,162.53449999999998,162.60399999999998,280130
1515513600,162.48,162.89,162.45,162.73,NaN,NaN,160.8489,162.2545,162.56299999999996,162.636,415356
1515517200,162.7,162.87,162.52,162.85,NaN,NaN,160.9469,162.315,162.60699999999997,162.646,167330
1515520800,162.85,163.035,162.83,162.88,NaN,NaN,161.04149999999998,162.37325,162.64099999999996,162.62999999999997,124309
1515524400,162.88,162.9,162.71,162.82,NaN,NaN,161.1323,162.43275,162.68099999999995,162.748,201603
1515528000,162.81,162.845,162.5,162.6,NaN,NaN,161.2149,162.46875,162.68999999999997,162.77599999999995,454612
1515531600,162.58,162.58,162.4,162.4,NaN,NaN,161.2963,162.48775,162.67299999999994,162.70999999999995,25895
1515585600,161.51,161.74,161.51,161.63,NaN,NaN,161.3579,162.48075,162.55599999999995,162.46599999999995,11570
1515589200,161.63,161.8,161.57,161.69,NaN,NaN,161.4217,162.47375,162.42899999999997,162.22799999999995,41700
1515592800,161.67,162.085,161.25,161.47,NaN,NaN,161.4627,162.43825,162.35299999999995,161.95799999999994,529861
1515596400,161.5,161.8,161.14,161.64,NaN,NaN,161.5023,162.40275000000003,162.27099999999996,161.76599999999993,483614
1515600000,161.63,161.98,161.58,161.8,NaN,NaN,161.5443,162.3705,162.17799999999994,161.64599999999993,452921
1515603600,161.8,161.965,161.675,161.93,NaN,NaN,161.5822,162.3465,162.08599999999996,161.70599999999996,150287
1515607200,161.935,162.18,161.75,162.11,NaN,NaN,161.6299,162.325,162.009,161.78999999999996,282480
1515610800,162.12,162.15,161.57,161.88,NaN,NaN,161.6689,162.29800000000003,161.915,161.87199999999993,267641
1515614400,161.88,162.2,161.8,162.17,NaN,NaN,161.71189999999999,162.281,161.87199999999999,161.97799999999995,316611
1515618000,162.16,162.28,162.13,162.28,NaN,NaN,161.7583,162.2665,161.85999999999996,162.07399999999993,24147
1515672000,162.5,162.75,162.5,162.7,NaN,NaN,161.80329999999998,162.2615,161.96699999999996,162.22799999999992,4500
1515675600,162.6,162.63,162.6,162.63,NaN,NaN,161.8415,162.245,162.06099999999998,162.33199999999994,1244
1515679200,162.53,162.62,162.32,162.58,NaN,NaN,161.88549999999998,162.2625,162.17199999999997,162.47199999999992,218148
1515682800,162.58,162.76,162.23,162.54,NaN,NaN,161.9257,162.2665,162.26199999999994,162.54599999999996,298974
1515686400,162.54,162.7,162.52,162.69,NaN,NaN,161.97289999999998,162.2645,162.35099999999994,162.62799999999996,149017
1515690000,162.7,163.13,162.6,163.11,NaN,NaN,162.0291,162.27749999999997,162.46899999999997,162.70999999999995,209849
1515693600,163.11,163.17,162.95,162.99,NaN,NaN,162.0829,162.283,162.55699999999996,162.78199999999998,121209
1515697200,162.995,163.04,162.91,162.95,NaN,NaN,162.1345,162.2895,162.66399999999993,162.85599999999994,138470
1515700800,162.96,163.3,162.92,163.3,NaN,NaN,162.19459999999998,162.3245,162.77699999999996,163.00799999999995,311362
1515704400,163.28,163.53,163.24,163.46,NaN,NaN,162.25179999999997,162.3775,162.89499999999995,163.16199999999998,44122
1515758400,163.72,163.72,163.69,163.7,NaN,NaN,162.3036,162.481,162.99499999999995,163.27999999999997,5900
1515762000,163.72,163.89,163,163.06,NaN,NaN,162.34179999999998,162.5495,163.03799999999995,163.29399999999998,88681
1515765600,163.02,163.54,162.95,163.5,NaN,NaN,162.39159999999998,162.65099999999998,163.12999999999994,163.404,309630
1515769200,163.53,164.28,163.49,164.19,NaN,NaN,162.4466,162.77849999999998,163.29499999999993,163.582,315059
1515772800,164.2,164.33,164.03,164.25,NaN,NaN,162.49779999999998,162.901,163.45099999999994,163.73999999999998,186579
1515776400,164.26,164.49,164.13,164.48,NaN,NaN,162.55459999999997,163.02849999999998,163.5879999999999,163.89599999999996,168188
1515780000,164.48,164.515,164.29,164.42,NaN,NaN,162.60869999999997,163.144,163.7309999999999,164.16799999999995,130884
1515783600,164.43,164.6,164.34,164.42,NaN,NaN,162.66449999999998,163.27100000000002,163.87799999999993,164.35199999999998,225267
1515787200,164.41,164.66,164.195,164.47,NaN,NaN,162.7163,163.38600000000002,163.99499999999995,164.40799999999996,474573
1515790800,164.48,164.74,164.48,164.74,NaN,NaN,162.7707,163.50900000000001,164.12299999999993,164.50599999999997,48685
1516104000,165.55,165.59,165.52,165.54,NaN,NaN,162.84609999999998,163.651,164.30699999999993,164.718,14000
1516107600,165.56,165.68,165.56,165.61,NaN,NaN,162.9217,163.8,164.56199999999993,164.956,3750
1516111200,165.54,166.41,165.49,166.23,NaN,NaN,163.00269999999998,163.98250000000002,164.83499999999992,165.318,363709
1516114800,166.24,166.31,165.48,165.62,NaN,NaN,163.0681,164.1365,164.9779999999999,165.548,492503
1516118400,165.63,165.69,164.98,165.02,NaN,NaN,163.1196,164.25300000000001,165.0549999999999,165.60399999999998,736363
1516122000,165.05,165.43,164.76,164.87,NaN,NaN,163.1688,164.341,165.09399999999988,165.47000000000003,222813
1516125600,164.87,165.02,164.44,164.49,NaN,NaN,163.20780000000002,164.416,165.1009999999999,165.24600000000004,371311
1516129200,164.54,164.55,163.54,163.9,NaN,NaN,163.2374,164.4635,165.04899999999992,164.78000000000003,1058802
1516132800,163.93,164.48,163.91,163.99,NaN,NaN,163.267,164.498,165.00099999999992,164.454,969502
1516136400,164,164.42,164,164.32,NaN,161.80575000000002,163.30200000000002,164.541,164.9589999999999,164.31400000000002,46348
1516190400,164.89,164.97,164.8,164.82,NaN,161.89045,163.34240000000003,164.59699999999998,164.8869999999999,164.304,13399
1516194000,164.83,164.99,164.8,164.99,NaN,161.97605,163.383,164.6935,164.8249999999999,164.40400000000002,25444
1516197600,165.05,165.1,164.03,164.25,NaN,162.04364999999999,163.42340000000002,164.731,164.6269999999999,164.47400000000002,940675
1516201200,164.24,164.655,164.15,164.585,NaN,162.1099,163.4659,164.75074999999998,164.52349999999993,164.59300000000002,413318
1516204800,164.58,165.03,164.47,164.75,NaN,162.1776,163.5063,164.77575,164.4964999999999,164.679,453082
1516208400,164.75,165.25,164.74,165.25,NaN,162.2506,163.5543,164.81425,164.53449999999992,164.76500000000001,420729
1516212000,165.25,165.56,165.18,165.31,NaN,162.32219999999998,163.6029,164.85875,164.61649999999992,164.829,394061
1516215600,165.32,165.85,165.32,165.79,NaN,162.3973,163.66230000000002,164.92725000000002,164.8054999999999,165.13700000000003,511695
1516219200,165.79,166.03,165.65,165.78,NaN,162.47039999999998,163.7259,164.99275,164.98449999999994,165.37600000000003,634215
1516222800,165.78,165.85,165.73,165.76,NaN,162.5447,163.7931,165.04375,165.12849999999992,165.578,42653
1516276800,165.77,165.77,165.45,165.49,NaN,162.6141,163.8703,165.04125,165.19549999999992,165.626,1156
1516280400,165.42,165.49,165.25,165.25,NaN,162.6816,163.9415,165.02325,165.22149999999993,165.61399999999998,34449
1516284000,165.38,165.88,165.31,165.7,NaN,162.7444,164.0261,164.99674999999996,165.36649999999992,165.596,627507
1516287600,165.71,165.8,165.135,165.54,NaN,162.8032,164.1041,164.99274999999997,165.46199999999993,165.548,559964
1516291200,165.53,165.94,165.36,165.61,NaN,162.8623,164.1803,165.02224999999996,165.54799999999994,165.518,381657
1516294800,165.59,166.02,165.58,165.89,NaN,162.92085,164.2595,165.07324999999997,165.61199999999994,165.598,131046
1516298400,165.9,166.05,165.74,166,NaN,162.9836,164.3373,165.14874999999995,165.68099999999993,165.748,181176
1516302000,166,166.19,165.935,166.09,NaN,163.0452,164.4215,165.25824999999995,165.71099999999993,165.82599999999996,390815
1516305600,166.08,166.11,165.61,165.82,NaN,163.1032,164.49450000000002,165.34974999999994,165.71499999999992,165.882,633113
1516309200,165.82,165.97,165.53,165.55,NaN,163.1591,164.55990000000003,165.41124999999994,165.6939999999999,165.86999999999998,38606
1516363200,166.39,166.39,166.25,166.26,NaN,163.2172,164.6311,165.48324999999994,165.7709999999999,165.944,12800
1516366800,166.19,166.19,165.9,166.03,NaN,163.2703,164.6991,165.53524999999996,165.8489999999999,165.95,11500
1516370400,166.18,166.595,165.96,166.04,NaN,163.3269,164.7683,165.62474999999998,165.8829999999999,165.94,437684
1516374000,166.04,166.08,165.6,165.73,NaN,163.3789,164.83210000000003,165.68199999999996,165.9019999999999,165.92199999999997,1015324
1516377600,165.725,166.1,165.54,165.84,NaN,163.434,164.8951,165.73649999999998,165.9249999999999,165.97999999999996,396879
1516381200,165.85,166.18,165.85,166.07,NaN,163.4917,164.9543,165.77749999999997,165.9429999999999,165.94199999999998,111338
1516384800,166.08,166.14,165.96,166.03,NaN,163.549,165.0151,165.81349999999998,165.9459999999999,165.94199999999998,212561
1516388400,166.02,166.34,166.005,166.21,NaN,163.60739999999998,165.0803,165.8345,165.9579999999999,165.97599999999997,357529
1516392000,166.22,166.4,166.14,166.34,NaN,163.66785,165.1411,165.86249999999998,166.0099999999999,166.09799999999998,618153
1516395600,166.33,166.55,166.29,166.51,NaN,163.72695,165.2021,165.89999999999998,166.10599999999994,166.23199999999997,44028
1516622400,166.33,166.33,166.28,166.33,NaN,163.77915,165.2547,165.94199999999998,166.11299999999991,166.28399999999996,9800
1516626000,166.38,166.4,166.26,166.28,NaN,163.83044999999998,165.3191,165.99349999999998,166.13799999999992,166.33399999999997,9729
1516629600,166.31,166.67,166.09,166.61,NaN,163.88645,165.3813,166.039,166.19499999999994,166.414,298000
1516633200,166.59,167.4,166.53,167.17,NaN,163.94375,165.4409,166.12049999999996,166.3389999999999,166.57999999999998,410594
1516636800,167.15,167.52,167.13,167.51,NaN,164.00195,165.5061,166.21549999999996,166.50599999999991,166.77999999999997,198560
1516640400,167.505,167.77,167.43,167.63,NaN,164.06184999999996,165.5691,166.30249999999995,166.66199999999992,167.03999999999996,257361
1516644000,167.62,167.735,167.575,167.67,NaN,164.1214,165.6341,166.38599999999997,166.8259999999999,167.31799999999996,141939
1516647600,167.69,167.7,167.43,167.52,NaN,164.1803,165.6961,166.45749999999995,166.9569999999999,167.49999999999994,151195
1516651200,167.52,168.12,167.52,168.11,NaN,164.24259999999998,165.76890000000003,166.57199999999995,167.1339999999999,167.68799999999996,549731
1516654800,168.11,168.67,168.11,168.61,NaN,164.30849999999998,165.8463,166.72499999999997,167.3439999999999,167.908,73575
1516708800,168.48,168.64,168.46,168.53,NaN,164.3761,165.9061,166.83849999999995,167.5639999999999,168.088,19600
1516712400,168.56,168.58,168.42,168.43,NaN,164.44209999999998,165.96250000000003,166.95849999999996,167.7789999999999,168.24,4600
1516716000,168.33,169.22,168.33,168.81,NaN,164.5084,166.01410000000004,167.09699999999995,167.9989999999999,168.498,902092
1516719600,168.81,169.53,168.73,169.47,NaN,164.5796,166.0911,167.28399999999993,168.2289999999999,168.76999999999998,577668
1516723200,169.47,169.6,169.18,169.24,NaN,164.64755000000002,166.17550000000003,167.45399999999995,168.40199999999993,168.89599999999996,289422
1516726800,169.23,169.455,169.17,169.23,NaN,164.71575,166.26270000000005,167.61199999999997,168.56199999999993,169.03599999999997,151390
1516730400,169.23,169.59,169.19,169.56,NaN,164.78595,166.36410000000004,167.78849999999994,168.75099999999992,169.26199999999997,237989
1516734000,169.56,169.56,168.97,169.35,NaN,164.85525,166.47310000000002,167.94549999999995,168.9339999999999,169.36999999999995,310792
1516737600,169.36,169.66,169.23,169.49,NaN,164.92505,166.5831,168.10299999999995,169.07199999999992,169.37399999999997,549208
1516741200,169.49,169.52,169.13,169.15,NaN,164.99085,166.67970000000003,168.23499999999996,169.12599999999992,169.35599999999994,67995
1516795200,169.45,169.57,169.43,169.43,NaN,165.05715,166.77190000000002,168.38999999999993,169.21599999999992,169.39599999999996,23900
1516798800,169.46,169.88,169.46,169.88,NaN,165.12635000000003,166.86970000000002,168.56999999999994,169.36099999999993,169.45999999999995,19024
1516802400,169.8,169.96,169.29,169.72,NaN,165.20125,166.9791,168.72549999999995,169.45199999999994,169.53399999999993,399887
1516806000,169.72,170.24,169.6,169.74,NaN,165.27405000000002,167.0822,168.85399999999993,169.47899999999993,169.58399999999992,1110431
1516809600,169.73,169.82,168.09,168.67,NaN,165.33345,167.16060000000002,168.91199999999992,169.42199999999994,169.48799999999991,1260732
1516813200,168.68,168.81,167.91,168.28,NaN,165.38775,167.22119999999998,168.94449999999992,169.32699999999994,169.25799999999992,610279
1516816800,168.27,168.78,167.44,168.5,NaN,165.44395,167.285,168.98599999999993,169.22099999999995,168.9819999999999,901246
1516820400,168.51,169.15,168.43,168.89,NaN,165.50465,167.347,169.0544999999999,169.17499999999993,168.8159999999999,554416
1516824000,168.9,168.92,168.29,168.45,NaN,165.56314999999998,167.40040000000002,169.07149999999993,169.07099999999994,168.5579999999999,994104
1516827600,168.43,168.58,168.33,168.57,NaN,165.62485,167.4566,169.0694999999999,169.01299999999995,168.53799999999993,49310
1516881600,169.37,169.47,169.37,169.42,NaN,165.70275,167.5352,169.11399999999992,169.01199999999992,168.7659999999999,17520
1516885200,169.38,169.85,169.38,169.71,NaN,165.78294999999997,167.62440000000004,169.17799999999994,168.99499999999995,169.0079999999999,33862
1516888800,169.76,169.78,168.16,168.32,NaN,165.85145,167.67680000000001,169.15349999999992,168.85499999999993,168.8939999999999,612588
1516892400,168.34,168.89,168.2,168.74,NaN,165.92245,167.74079999999998,169.1169999999999,168.75499999999994,168.95199999999988,702040
1516896000,168.75,169.3,168.68,169.26,NaN,165.99705000000003,167.81380000000001,169.1179999999999,168.8139999999999,169.08999999999986,349844
1516899600,169.27,169.41,168.81,168.83,NaN,166.06605,167.87260000000003,169.09799999999993,168.86899999999991,168.9719999999999,275010
1516903200,168.8,169.11,168.57,169.02,NaN,166.13514999999998,167.933,169.07099999999994,168.92099999999994,168.8339999999999,164506
1516906800,169.02,169.03,168,168.13,NaN,166.19764999999998,167.9738,169.00999999999993,168.84499999999994,168.79599999999988,574668
1516910400,168.14,168.45,167.82,168.35,NaN,166.25945,168.02439999999999,168.95299999999992,168.83499999999995,168.7179999999999,732169
1516914000,168.33,168.68,168.33,168.68,NaN,166.32345,168.08700000000002,168.92949999999993,168.84599999999995,168.6019999999999,40304
1516968000,169.27,169.28,169.18,169.25,NaN,166.38895,168.1468,168.92049999999995,168.82899999999995,168.68599999999986,16700
1516971600,169.29,169.43,169.16,169.34,NaN,166.45605,168.213,168.89349999999996,168.79199999999997,168.74999999999986,26864
1516975200,169.42,169.43,168.96,169.33,NaN,166.52355,168.27880000000002,168.87399999999997,168.89299999999997,168.98999999999987,367561
1516978800,169.31,169.87,169.08,169.75,NaN,166.59564999999998,168.35920000000002,168.87449999999995,168.99399999999997,169.26999999999987,355848
1516982400,169.76,169.85,169.56,169.64,NaN,166.66514999999998,168.4352,168.92299999999994,169.03199999999995,169.46199999999988,179246
1516986000,169.65,169.81,169.51,169.72,NaN,166.73125,168.5082,168.99499999999995,169.12099999999995,169.55599999999987,222639
1516989600,169.74,170.15,169.74,170.11,NaN,166.80245,168.5898,169.07549999999995,169.22999999999996,169.70999999999987,299914
1516993200,170.12,170.3,169.93,170.18,NaN,166.87474999999998,168.66920000000002,169.13999999999993,169.43499999999995,169.87999999999988,193711
1516996800,170.14,170.87,170.13,170.87,NaN,166.95045,168.75979999999998,169.26099999999994,169.68699999999995,170.10399999999987,880861
1517000400,170.84,171.02,170.7,170.96,NaN,167.02544999999998,168.8488,169.38049999999996,169.91499999999994,170.36799999999988,90799
1517227200,170.55,170.55,170.37,170.5,NaN,167.09344999999996,168.93220000000002,169.43449999999996,170.03999999999994,170.52399999999986,13008
1517230800,170.41,170.52,170.41,170.45,NaN,167.16735,169.0156,169.47149999999996,170.15099999999993,170.59199999999987,6700
1517234400,170.42,170.72,170.02,170.58,NaN,167.23815,169.095,169.58449999999996,170.27599999999993,170.67199999999985,371846
1517238000,170.62,170.625,169.785,170.07,NaN,167.29694999999995,169.153,169.65099999999998,170.30799999999994,170.5119999999999,598677
1517241600,170.06,170.58,169.77,170.37,NaN,167.35815,169.21020000000001,169.70649999999995,170.38099999999994,170.39399999999986,487020
1517245200,170.37,170.71,170.22,170.64,NaN,167.41975,169.27039999999997,169.79699999999997,170.47299999999993,170.42199999999985,317834
1517248800,170.68,170.9,170.51,170.6,NaN,167.48155,169.32899999999998,169.87599999999998,170.52199999999993,170.45199999999986,201722
1517252400,170.6,170.7,170.26,170.42,NaN,167.54154999999994,169.387,169.99049999999997,170.5459999999999,170.41999999999985,232542
1517256000,170.415,170.55,169.74,170.09,NaN,167.59775,169.4266,170.0775,170.4679999999999,170.42399999999984,812222
1517259600,170.1,170.22,170.01,170.12,NaN,167.65155,169.45680000000002,170.14949999999996,170.3839999999999,170.37399999999985,18786
1517313600,169.26,169.37,169.07,169.22,NaN,167.68834999999999,169.4706,170.14799999999997,170.25599999999991,170.08999999999986,39798
1517317200,169.23,169.31,168.77,168.78,NaN,167.72005,169.4776,170.11999999999998,170.0889999999999,169.72599999999986,61000
1517320800,168.72,168.965,168.09,168.21,NaN,167.73984999999996,169.46559999999997,170.064,169.85199999999992,169.28399999999988,819768
1517324400,168.2,169.12,167.83,169.09,NaN,167.77454999999998,169.458,170.031,169.75399999999993,169.0839999999999,1017114
1517328000,169.09,169.405,168.67,168.715,NaN,167.81149999999997,169.44749999999996,169.98475,169.58849999999993,168.80299999999988,545450
1517331600,168.71,168.93,168.38,168.56,NaN,167.84839999999997,169.43409999999997,169.92675,169.38049999999993,168.67099999999988,284109
1517335200,168.56,168.9,168.14,168.78,NaN,167.89129999999997,169.4185,169.86024999999998,169.1984999999999,168.67099999999988,262263
1517338800,168.795,169.06,168.39,168.46,NaN,167.93689999999998,169.4007,169.77425,169.0024999999999,168.72099999999992,362683
1517342400,168.415,169.09,168.4,168.74,NaN,167.9844,169.38569999999999,169.66774999999998,168.86749999999992,168.6509999999999,740645
1517346000,168.75,168.96,168.6,168.65,164.916725,168.02769999999998,169.3757,169.55225000000002,168.72049999999996,168.6379999999999,25982
1517400000,169.31,169.47,169.31,169.37,164.981825,168.07319999999996,169.3745,169.49575,168.73549999999994,168.7999999999999,14500
